Name,Price,URL,Version,Color,CPU,Ram,Storage,Graphics,Display,Battery
Dell XPS 13 9310,18.990.000,https://thinkpro.vn/laptop/dell-xps-13-9310-6283,"i7 1165G7, FHD+
8GB, 512GB",Platium Silver,"Intel Intel 11th, 4C/8T",8GB LPDDR4X 4266MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13.4inches, 1920 x 1200px, 60Hz",51WHr Li-Polymer
Dell XPS 13 9310,21.990.000,https://thinkpro.vn/laptop/dell-xps-13-9310-6231,"i7 1165G7, FHD+
8GB, 512GB",Platium Silver,"Intel Intel 11th, 4C/8T",16GB LPDDR4X 4266MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13.4inches, 1920 x 1200px, 60Hz",Dung lượng pin:
Lenovo Legion 5 Pro 2022,28.990.000,https://thinkpro.vn/laptop/lenovo-legion-5-pro-2022-6354,"i7 12700H, RTX3050Ti, QHD+ 165Hz
16GB, 512GB",Storm Grey,"Intel Intel 12th, 14C/20T",16GB DDR5 4800MHz,1024GB (M.2 NVMe),Intel Iris Xe Graphics,"16inches, 2560 x 1600px, 165Hz",80WHr Li-Polymer
Dell XPS 13 9310,26.990.000,https://thinkpro.vn/laptop/dell-xps-13-9310-6188,"i7 1165G7, FHD+
8GB, 512GB",Platium Silver,"Intel Intel 11th, 4C/8T",32GB LPDDR4X 4266MHz,1024GB (M.2 NVMe),Intel Iris Xe Graphics,"13.4inches, 3456 x 2160px, 60Hz",Dung lượng pin:
Dell XPS 13 9310 (INP4757211SA),21.390.000,https://thinkpro.vn/laptop/dell-xps-13-9310-6284,"i7 1165G7, FHD+
8GB, 512GB",Platium Silver,"Intel Intel 11th, 4C/8T",16GB LPDDR4X 4266MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"13.4inches, 1920 x 1200px, 60Hz",51WHr Li-Polymer
Dell Inspiron 14 Plus (7420),22.990.000,https://thinkpro.vn/laptop/dell-inspiron-14-plus-7420-laptop-6317,"i7 12700H, 2.2K
 16GB, 512GB",Dark Teal,"Intel Intel 12th, 14C/20T",16GB DDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14inches, 2240 x 1400px, 60Hz",64WHr Li-Polymer
Lenovo ThinkPad X1 Nano,26.490.000,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-nano-6279,"i5 1130G7
16GB, 1TB",Black,"Intel Intel 11th, 4C/8T",16GB LPDDR4X 4266MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13inches, 2160 x 1350px, 60Hz",48WHr Li-Polymer
Lenovo ThinkPad X1 Carbon Gen 7,15.490.000,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-7-6313,"i7 8565, FHD
16GB, 256GB",Black,"Intel Intel 8th, 4C/8T",16GB LPDDR3 2133MHz,256GB (M.2 NVMe),Intel UHD Graphics,"14inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Lenovo ThinkPad X1 Carbon Gen 7,16.390.000,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-7-6251,"i7 8565, FHD
16GB, 256GB",Black,"Intel Intel 10th, 4C/8T",16GB LPDDR3 2133MHz,256GB (M.2 NVMe),Intel UHD Graphics,"14inches, 1920 x 1080px, 60Hz",Dung lượng pin:
LG Gram 16 2 in 1 2022,25.390.000,https://thinkpro.vn/laptop/lg-gram-16-2-in-1-2022-6258,"i7 1260P, QHD+
16GB, 512GB",Black,"Intel Intel 12th, 12C/16T",16GB LPDDR5 5200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"16inches, 2560 x 1600px, 60Hz",80WHr Li-on
Lenovo ThinkPad T14s Gen 2 (Intel) (Vỏ kim loại),21.990.000,https://thinkpro.vn/laptop/lenovo-thinkpad-t14s-gen-2-intel-6294,"i7 1165G7, FHD
16GB, 512GB",Platium Silver,"Intel Intel 11th, 4C/8T",16GB LPDDR4 4266MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14inches, 1920 x 1080px, 60Hz",57WHr Li-Polymer
Dell Gaming G15 5515 Ryzen Edition,19.990.000,https://thinkpro.vn/laptop/dell-gaming-g15-5515-ryzen-edition-6601,"R5 5600H, RTX3050, FHD 120Hz
16Gb, 512GB",Phantom Grey,"AMD Ryzne 5 5600H, 6C/12T",16GB DDR4 3200MHz,512GB (,AMD Radeon Graphics,"15.6inches, 1920 x 1080px, 120Hz",Dung lượng pin:
LG Gram 17 2022 (Nhập khẩu),23.690.000,https://thinkpro.vn/laptop/lg-gram-17-2022-nhap-khau-6318,"i7 1260P, QHD+
16GB, 512GB",Shadow Grey,"Intel Intel 12th, 12C/16T",16GB LPDDR5 5200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"17inches, 2560 x 1600px, 60Hz",80WHr Li-on
Lenovo Slim 7 ProX,27.990.000,https://thinkpro.vn/laptop/lenovo-slim-7-prox-6150,"R9 6900HS, RTX 3050, 3K+ 120Hz
 32GB, 1TB",Grey,"AMD AMD 6000, 8C/16T",32GB LPDDR5 6400MHz,1024GB (M.2 NVMe),AMD Radeon 680M,"14.5inches, 3072 x 1920px, 120Hz",70WHr Li-Polymer
HP Elitebook 840 G7,13.990.000,https://thinkpro.vn/laptop/hp-elitebook-840-g7-195,"i7 10610U, FHD
16GB, 512GB",Silver,"Intel Intel 10th, 4C/8T",16GB DDR4 2666MHz,512GB (M.2 NVMe),Intel UHD Graphics,"14inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Dell Inspiron 14 5405 (VK0MC1),13.990.000,https://thinkpro.vn/laptop/dell-inspiron-14-5405-chinh-hang-4093,,Platium Silver,"AMD AMD 4000, 6C/6T",16GB DDR4 3200MHz,512GB (M.2 NVMe),AMD Radeon Graphics,"14inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Dell Latitude 14 7400 2 in 1,14.990.000,https://thinkpro.vn/laptop/dell-latitude-14-7400-2-in-1-6588,I7 8665U 8GB 256GB FHD,Silver,"Intel Core i7 8665U, 4C/8T",8GB LPDDR3 2133MHz,256GB (,,"14inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Dell XPS 13 9310 2-in-1,23.490.000,https://thinkpro.vn/laptop/dell-xps-13-9310-2-in-1-6399,"i7 1165G7, FHD+ Touch
16GB, 256GB",Silver,"Intel Intel 11th, 4C/8T",16GB LPDDR4X 4266MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"13.4inches, 1920 x 1200px, 60Hz",Dung lượng pin:
Lenovo ThinkPad T14 Gen 2 (Intel) (Vỏ kim loại),18.990.000,https://thinkpro.vn/laptop/lenovo-thinkpad-t14-gen-2-intel-6590,"i5 1135G7, FHD
16GB, 512GB",Đen,"Intel Core i5 1145G7, 4C/8T",16GB DDR4 3200MHz,512GB (,,"14inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Microsoft Surface Pro 7 (Chỉ thân máy),13.990.000,https://thinkpro.vn/laptop/microsoft-surface-pro-7-6123,"i5 1035G1
8GB, 256GB",Black,"Intel Intel 10th, 4C/8T",8GB LPDDR4X 3733MHz,256GB (M.2 NVMe),Intel Iris Plus Graphics,"12.3inches, 2736 x 1824px, 60Hz",Dung lượng pin:
Lenovo ThinkPad T490,10.690.000,https://thinkpro.vn/laptop/lenovo-thinkpad-t490-6456,"i5 8265U, FHD
16GB, 256GB",Black,"Intel Intel 8th, 4C/8T",16GB DDR4 2400MHz,256GB (M.2 NVMe),Intel UHD Graphics,"14inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Acer Swift 3 2022 (Intel),15.990.000,https://thinkpro.vn/laptop/acer-swift-3-2022-intel-6330,"i5 1240P
 16GB, 512GB",Pure Silver,"Intel Core i5 1240P, 12C/16T",16GB LPDDR4X 3200MHz,512GB (,,"14inches, 1920 x 1080px, 60Hz",65WHr Li-ion
Lenovo ThinkPad T14 Gen 2 (Intel),18.990.000,https://thinkpro.vn/laptop/lenovo-thinkpad-t14-gen-2-intel-6589,"i5 1135G7, FHD
16GB, 512GB",Đen,"Intel Core i5 1135G7, 4C/8T",16GB DDR4 3200MHz,512GB (,,"14inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Dell XPS 15 9510,31.990.000,https://thinkpro.vn/laptop/dell-xps-15-9510-4519,"i7 11800H, RTX3050Ti, FHD+
16GB, 512GB",Sliver,"Intel Intel 11th, 8C/16T",16GB DDR4 3200MHz,512GB (M.2 NVMe),Intel UHD Graphics,"15.6inches, 1920 x 1200px, 60Hz",Dung lượng pin:
Lenovo ThinkPad P1 Gen 3 (20TJS07200),26.990.000,https://thinkpro.vn/laptop/lenovo-thinkpad-p1-gen-3-4493,"i7 10750H, Quadro P1000, FHD
16GB, 512GB",Black,"Intel Intel 10th, 6C/12T",16GB DDR4 2933MHz,512GB (M.2 NVMe),Intel UHD Graphics,"15.6inches, 1920 x 1080px, 60Hz",80WHr Li-Polymer
Dell Inspiron 15 5515 AMD,17.990.000,https://thinkpro.vn/laptop/dell-inspiron-15-5515-amd-4201,R5 5500U 8GB 256GB FHD,Mist Blue,"AMD Ryzen 5 5500U, 6C/12T",8GB DDR4 3200MHz,256GB (,,"45092inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Dell XPS 13 9300,17.990.000,https://thinkpro.vn/laptop/dell-xps-13-9300-3078,"i5 1035G1, FHD+
8GB, 256GB",Platium Silver,"Intel Intel 10th, 4C/8T",8GB LPDDR4X 3733MHz,256GB (M.2 NVMe),Intel UHD Graphics,"13.4inches, 1920 x 1200px, 60Hz",Dung lượng pin:
HP Envy 13 X360,14.990.000,https://thinkpro.vn/laptop/hp-envy-13-x360-6652,I5 1135G7 8GB 256GB  FHD,Pale Gold,"Intel Intel 11th, 4C/8T",8GB DDR4 3200MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"13.3inches, 1920 x 1080px, 60Hz",51WHr Li-Polymer
Lenovo ThinkPad T480,11.990.000,https://thinkpro.vn/laptop/lenovo-thinkpad-t480-6564,"i7 8650U, MX150 2GB, FHD Touch, LTE
32GB, 512GB",Black,"Intel Intel 8th, 4C/8T",32GB DDR4 2400MHz,512GB (M.2 NVMe),Intel UHD 620,"14inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Lenovo ThinkPad T14 Gen 3 (Intel),19.990.000,https://thinkpro.vn/laptop/lenovo-slim-7-16-gen-7-6452,"i5 1235U, FHD+
8GB, 512GB",Black,"Intel Intel 12th, 10C/12T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14inches, 1920 x 1200px, 60Hz",57WHr Li-Polymer
Dell Inspiron 16 5620,18.990.000,https://thinkpro.vn/laptop/dell-inspiron-16-5620-6625,"i5 1235U
 8GB, 512GB",Platium Grey,"Intel Core i5 1235U, 10C/12T",8GB DDR4 3200MHz,512GB (,Intel Iris Xe Graphics,"16inches, 1920 x 1200px, 60Hz",54WHr
Dell Inspiron 14 5410,20.990.000,https://thinkpro.vn/laptop/dell-inspiron-14-5410-6587,,Silver Grey,"Intel Core i 5 11300H, 4C/8T",8GB DDR4 3200MHz,512GB (,,"14inches, 1920 x 1080px, 60Hz",54WHr Li-ion
Lenovo Legion 5 Pro,23.990.000,https://thinkpro.vn/laptop/lenovo-legion-5-pro-16ith6h-4062,"i7 11800H, RTX3050, 2.5K 165Hz
16GB, 512GB",Storm Grey,"Intel Intel 11th, 8C/16T",16GB DDR4 3200MHz,512GB (M.2 NVMe),Intel UHD Graphics,"16inches, 2560 x 1600px, 165Hz",80WHr Li-Polymer
Dell XPS 13 9300,18.490.000,https://thinkpro.vn/laptop/dell-xps-13-9300-5069,"i5 1035G1, FHD+
8GB, 256GB",Platium Silver,"Intel Intel 10th, 4C/8T",16GB LPDDR4X 3733MHz,512GB (M.2 NVMe),Intel UHD Graphics,"13.4inches, 1920 x 1200px, 60Hz",Dung lượng pin:
Dell Inspiron 13 5310,13.990.000,https://thinkpro.vn/laptop/dell-inspiron-13-5310-4270,"i5 11320H, FHD+
16GB, 512GB",Silver Grey,"Intel Intel 11th, 4C/8T",16GB LPDDR4X 4266MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13.3inches, 1920 x 1200px, 60Hz",54WHr Li-Polymer
Dell Inspiron 14 5425,13.990.000,https://thinkpro.vn/laptop/dell-inspiron-14-5425-4973,"R5 5625U, FHD+
16GB, 512GB",Platium Silver,"AMD AMD 5000, 6C/12T",16GB DDR4 3200MHz,512GB (M.2 NVMe),AMD Radeon Graphics,"14inches, 1920 x 1200px, 60Hz",54WHr Li-Polymer
Lenovo ThinkPad X1 Extreme Gen 3,24.990.000,https://thinkpro.vn/laptop/dell-xps-13-9305-5502,"i7 10750H, GTX 1650Ti, FHD
 16GB, 512GB",Black,"Intel Intel 10th, 6C/12T",16GB DDR4 2933MHz,512GB (M.2 NVMe),Intel UHD Graphics,"15.6inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Lenovo ThinkPad T480s,10.390.000,https://thinkpro.vn/laptop/lenovo-thinkpad-t480s-492,"i5 8350U, FHD
16GB, 256GB",Black,"Intel Intel 8th, 4C/8T",16GB DDR4 2400MHz,256GB (M.2 NVMe),Intel UHD 620,"14inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Dell XPS 13 9305,20.790.000,https://thinkpro.vn/laptop/dell-xps-13-9305-5211,"i7 1165G7, FHD
8GB, 256GB",Platinum Silver,"Intel Intel 11th, 4C/8T",16GB LPDDR4X 4266MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13.3inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Lenovo IdeaPad 5 Pro 14IAP7 (82SH000SVN),18.990.000,https://thinkpro.vn/laptop/lenovo-ideapad-5-pro-14iap7-6073,"i5 1240P
 16GB, 512GB
 90Hz",Cloud Grey,"Intel Intel 12th, 12C/16T",16GB LPDDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14inches, 2880 x 1800px, 90Hz",42WHr Li-Polymer
