Battery,Brand,CPU,Color,Display,Graphics,ImgURL,MFG_year,Name,OS,Price,Ram,Size,Status,Storage,URL,Weight,Wireless
"
                                                    3-cell, 42Whr                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i3-1115G4 (2 nhân, 4 luồng, tần số tối đa đa nhân Turbo boost 4.1GHz, 6 MB Intel® Smart Cache)                                            ","
                                                            Accent Black (Đen)                                                    ","
                                                    15.6 inch FullHD IPS 1920x1080 tấm nền IPS có cảm ứng đa điểm Touch                                            ","
                                                    Intel® UHD Graphics                                            ",https://trungtran.vn/images/products/2023/resized/dell_inspiron_3501__accent_black.png,"
                                                            2021                                                    ",Dell Inspiron 15 3501 i3-1115G4 8GB SSD 256GB FHD Touch,"
                                                            Windows 10                                                    ","
                            11.800.000đ                        ","
                                                    DDR4 8GB 2666MHz                                            ","
                                                            36.4cm x 24.9cm x 1.8-1.9 cm                                                    ","
                                                            New 100%                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-inspiron-3501-intel-nhieu-cau-hinh/,"
                                                            1.8 – 1.9kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    8 cell                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i7 6820HQ (4 nhân 8 luồng, xung nhịp cơ bản 2.7GHz có thể đạt tối đa 3.6GHz với Turbo Boost, 8 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    17.3″ diagonal FHD UWVA IPS anti-glare LED-backlit (1920 x 1080)                                            ","
                                                    Intel HD Graphics 530 + NVIDIA Quadro M600M                                            ",https://trungtran.vn/images/products/2023/resized/thinkpad_p70.png,"
                                                            2016                                                    ","ThinkPad P70 i7-6820HQ 16GB SSD 256GB M600M 17.3"" FHD IPS","
                                                            Windows 10                                                    ","
                            15.500.000đ                        ","
                                                    16 GB DDR4-2133                                            ","
                                                            41.6 x 27.5 x 2.9 - 3.1 cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB SSD                                            ",https://trungtran.vn/thinkpad-p70-i7-quadro-nhieu-cau-hinh/,"
                                                            3.43kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    4-cell, 55wh                                            ","
                                                            Dell                                                    ","
                                                    Intel core i7 6600U (2 nhân 4 luồng, xung nhịp cơ bản 2.6GHz, có thể đạt tối đa 3.4GHz với Turbo Boost, 4 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14 inches 2k (2560x1440) IPS touch cực đẹp                                            ","
                                                    Intel Graphics HD 520                                            ",https://trungtran.vn//upload_images/images/products/dell-latitude/resized/Dell-Latitude-E7470.webp,"
                                                            2016                                                    ",Dell Latitude E7470 i7 6600U 8GB SSD 256 màn 2K IPS Touch,"
                                                            Windows 10                                                    ",8.200.000đ,"
                                                    8GB DDR4 (2 khe có thể nâng cấp)                                            ","
                                                            33.4cm x 23.2cm x 1.8-2.1cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB SSD                                            ",https://trungtran.vn/dell-latitude-e7470-i7-6600u-8gb-ssd-256-man-2k-ips-touch/,"
                                                            1.65kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    3-cell, 56wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i5-11400H (6 nhân 12 luồng, tần số xung nhịp cơ bản 2.7GHz – tối đa Turbo boost có thể đạt 4.5GHz, 12 MB Intel® Smart Cache)                                            ","
                                                            Xám đậm                                                    ","
                                                    15.6″ FHD IPS (1920×1080), WVA, chống lóa, không cảm ứng, độ sáng 250nits, tần số quét màn 120Hz                                            ","
                                                    Intel UHD Graphics + NVIDIA GeForce RTX 3050 4GB GDDR6                                            ",https://trungtran.vn/images/products/2023/resized/dell_g15_5511_png_full_size.png,"
                                                            2021                                                    ",Dell G15 5511 i5-11400H RAM 8GB SSD 512GB RTX 3050 FHD IPS 120Hz,"
                                                            Windows 10                                                    ","
                            18.300.000đ                        ","
                                                    8GB DDR4 3200MHz                                            ","
                                                            35.73cm x 27.21cm x 2.13-2.53cm                                                    ","
                                                            Outlet/Refurbished                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/dell-g15-5511-intel-nhieu-cau-hinh/,"
                                                            2.65 – 2.8kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.2                                                    "
"
                                                    3-cell, 42 Wh                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i5 1145G7 (4 nhân, 8 luồng, xung nhịp có thể đạt tối đa Turbo Boost 4.4GHz, 8 MB Intel® Smart Cache )                                            ","
                                                            Đen                                                    ","
                                                    13.3"" FHD ( 1920x1080) WVA, không cảm ứng, 250nits, 60Hz, low blue light                                            ","
                                                    Intel® Iris® Xe Graphics, on board                                            ",https://trungtran.vn/images/products/2023/resized/thumbnail_dell_latitude_7320_i5.png,"
                                                            2021                                                    ",Dell Latitude 7320 i7 1185G7 16GB 256GB FHD IPS Touch (Đen),"
                                                            Windows 10                                                    ",15.800.000đ,"
                                                    16GB 3733MHz LPDDR4x Memory Onboard                                            ","
                                                            30.6cm x 19.9cm x 1.6 – 1.8cm                                                    ","
                                                            Outlet/Refurbished                                                    ","
                                                    256 GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-e7320-i5-nhieu-cau-hinh/,"
                                                            1.12kg                                                    ","
                                                            Intel® Wi-Fi 6 + Bluetooth 5.1                                                    "
"
                                                    3-cell, 42 Wh                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i5 1145G7 (4 nhân, 8 luồng, xung nhịp có thể đạt tối đa Turbo Boost 4.4GHz, 8 MB Intel® Smart Cache )                                            ","
                                                            Đen                                                    ","
                                                    13.3"" FHD ( 1920x1080) WVA, không cảm ứng, 250nits, 60Hz, low blue light                                            ","
                                                    Intel® Iris® Xe Graphics, on board                                            ",https://trungtran.vn/images/products/2023/resized/thumbnail_dell_latitude_7320_i5.png,"
                                                            2021                                                    ",Dell Latitude 7320 2-in-1 i7 1185G7 16GB 256GB FHD IPS Touch,"
                                                            Windows 10                                                    ",19.500.000đ,"
                                                    16GB 3733MHz LPDDR4x Memory Onboard                                            ","
                                                            30.6cm x 19.9cm x 1.6 – 1.8cm                                                    ","
                                                            Outlet/Refurbished                                                    ","
                                                    256 GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-e7320-i5-nhieu-cau-hinh/,"
                                                            1.12kg                                                    ","
                                                            Intel® Wi-Fi 6 + Bluetooth 5.1                                                    "
"
                                                    4Cells                                            ","
                                                            Dell                                                    ","
                                                    Intel core i7 7600U (2 nhân 4 luồng, xung nhịp cơ bản 2.8GHz, có thể đạt tối đa 3.9GHz với Turbo Boost, 4 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14.1inch Full HD (1920 x 1080 pixels) IPS panel, Có optional có cảm ứng                                            ","
                                                    Intel Graphics HD 620                                            ",https://trungtran.vn/images/products/2023/resized/7480_chinh_dien_png.png,"
                                                            2017                                                    ",Dell Latitude E7480 i7 7600U RAM 8GB SSD 256GB FHD IPS,"
                                                            Windows 10                                                    ",7.900.000đ,"
                                                    8GB DDR4 bus 2133Mhz                                            ",,"
                                                            Đã qua sử dụng                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-e7480-core-i7-7600u-8gb-ssd-512gb-fhd-ips/,,"
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    4Cells                                            ","
                                                            Dell                                                    ","
                                                    Intel core i7 7600U (2 nhân 4 luồng, xung nhịp cơ bản 2.8GHz, có thể đạt tối đa 3.9GHz với Turbo Boost, 4 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14.1inch Full HD (1920 x 1080 pixels) IPS panel, Có optional có cảm ứng                                            ","
                                                    Intel Graphics HD 620                                            ",https://trungtran.vn/images/products/2023/resized/7480_chinh_dien_png.png,"
                                                            2017                                                    ",Dell Latitude E7480 i7 7600U RAM 8GB SSD 256GB FHD IPS Touch,"
                                                            Windows 10                                                    ",8.900.000đ,"
                                                    8GB DDR4 bus 2133Mhz                                            ",,"
                                                            Đã qua sử dụng                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-e7480-core-i7-7600u-8gb-ssd-512gb-fhd-ips/,,"
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    4-cell, 63 Wh                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i7 1185G7 (4 nhân, 8 luồng, xung nhịp có thể đạt tối đa Turbo Boost 4.8GHz, 12 MB Intel® Smart Cache )                                            ","
                                                            Đen                                                    ","
                                                    13.3"" FHD IPS, có cảm ứng, độ sáng 300nits                                            ","
                                                    Intel® Iris® Xe Graphics, on board                                            ",https://trungtran.vn/images/products/2023/resized/thumbnail_dell_latitude_7320_i5.png,"
                                                            2021                                                    ",Dell Latitude 7320 i7 1185G7 16GB 256GB FHD IPS Touch (Đen),"
                                                            Windows 10                                                    ","
                            15.800.000đ                        ","
                                                    16GB LPDDR4X 4267 MHz không nâng cấp được                                            ","
                                                            30.6cm x 19.9cm x 1.6 – 1.8cm                                                    ","
                                                            hàng outlet fullbox                                                    ","
                                                    256 GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-e7320-i7-nhieu-cau-hinh/,"
                                                            1.12kg                                                    ","
                                                            Intel® Wi-Fi 6 + Bluetooth 5.1                                                    "
"
                                                    57wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel core i7 8665U (4 nhân 8 luồng, xung nhịp cơ bản 1.9GHz, có thể đạt tối đa 4.8GHz với Turbo Boost, 8MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14"" FHD (1920x1080) IPS, màn nhám có cảm ứng, độ sáng 300nits, tỷ lệ khung hình 16:9; tỷ lệ tương phản 700:1; độ phủ màu 45% NTSC (tương đương chỉ tầm 65% sRGB), màn giảm ánh sáng xanh                                            ","
                                                    Intel® UHD Graphics 620                                            ",https://trungtran.vn/images/products/2023/resized/ThinkPad_T490s_CT1_04.png,"
                                                            2018                                                    ",Thinkpad T490s i7-8665U 32GB SSD 512GB FHD IPS Touch,"
                                                            Windows 10                                                    ",16.200.000đ,"
                                                    32GB DDR4 2400MHz, không nâng cấp được                                            ","
                                                            32.9 x 22.6 x 1.67 cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/thinkpad-t490s-i7-intel/,"
                                                            1.35kg                                                    ","
                                                            Wi-Fi + Bluetooth 5.1                                                    "
"
                                                    57wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel core i7 8665U (4 nhân 8 luồng, xung nhịp cơ bản 1.9GHz, có thể đạt tối đa 4.8GHz với Turbo Boost, 8MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14"" FHD (1920x1080) IPS, màn nhám có cảm ứng, độ sáng 300nits, tỷ lệ khung hình 16:9; tỷ lệ tương phản 700:1; độ phủ màu 45% NTSC (tương đương chỉ tầm 65% sRGB), màn giảm ánh sáng xanh                                            ","
                                                    Intel® UHD Graphics 620                                            ",https://trungtran.vn/images/products/2023/resized/ThinkPad_T490s_CT1_04.png,"
                                                            2018                                                    ",Thinkpad T490s i7-8665U 12GB SSD 256GB FHD IPS Touch,"
                                                            Windows 10                                                    ",13.500.000đ,"
                                                    32GB DDR4 2400MHz, không nâng cấp được                                            ","
                                                            32.9 x 22.6 x 1.67 cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/thinkpad-t490s-i7-intel/,"
                                                            1.35kg                                                    ","
                                                            Wi-Fi + Bluetooth 5.1                                                    "
"
                                                    57wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel core i7 8665U (4 nhân 8 luồng, xung nhịp cơ bản 1.9GHz, có thể đạt tối đa 4.8GHz với Turbo Boost, 8MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14"" FHD (1920x1080) IPS, màn nhám có cảm ứng, độ sáng 300nits, tỷ lệ khung hình 16:9; tỷ lệ tương phản 700:1; độ phủ màu 45% NTSC (tương đương chỉ tầm 65% sRGB), màn giảm ánh sáng xanh                                            ","
                                                    Intel® UHD Graphics 620                                            ",https://trungtran.vn/images/products/2023/resized/ThinkPad_T490s_CT1_04.png,"
                                                            2018                                                    ",Thinkpad T490s i7-8665U 32GB SSD 256GB FHD IPS Touch,"
                                                            Windows 10                                                    ",15.500.000đ,"
                                                    32GB DDR4 2400MHz, không nâng cấp được                                            ","
                                                            32.9 x 22.6 x 1.67 cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/thinkpad-t490s-i7-intel/,"
                                                            1.35kg                                                    ","
                                                            Wi-Fi + Bluetooth 5.1                                                    "
"
                                                    2 cell 80wh                                            ","
                                                            LG                                                    ","
                                                    Intel® Core™ i7 1165G7 (4 nhân 8 luồng, xung nhịp cơ bản 2.8GB và có thể đạt tối đa Turbo Boost 4.7GHz, 12 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    16"" WQXGA - 2K+ (2560 x 1600) IPS LCD với công nghệ màn gương cường lực Corning® Gorilla® Glass 6, chống lóa, có cảm ứng, tỷ lệ khung hình 16:10, độ phủ màu DCI-P3 99% (tối thiểu 95%), ~100% sRGB                                            ","
                                                    Đồ họa Intel® Iris® Xe                                            ",https://trungtran.vn/images/products/2023/resized/LG_GRAM_16_2021_(2).png,"
                                                            2021                                                    ",LG Gram 16 2022 2-in-1 i7-1260P RAM 16GB SSD 512GB 2K Touch Kèm bút,"
                                                            Windows 10                                                    ",26.500.000đ,"
                                                    16GB LPDDR4X 4266MHz, không nâng cấp được                                            ","
                                                            35.66 x 24.84 x 1.7cm                                                    ","
                                                            Opened Box                                                    ","
                                                    512GB PCIe NVME M.2 2280 SSD                                            ",https://trungtran.vn/lg-gram-16-2021-i7-intel/,"
                                                            1.48kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.1                                                    "
"
                                                    45wh                                            ","
                                                            Microsoft                                                    ","
                                                    Intel Core i7 8650U (4 nhân 8 luồng, xung nhịp cơ bản 1.9Ghz có thể đạt tới 4.2Ghz với turbo Boost, 8 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    12.3” PixelSense™ Display, tỉ lệ màn 3:2, độ phân giải 2736 x 1824, 100% sRGB, cảm ứng đa điểm 10 chạm                                            ","
                                                    Intel UHD Graphics 620                                            ",https://trungtran.vn/images/products/2023/resized/microsoft_surface_pro_6.png,"
                                                            2018                                                    ",Surface Pro 6 i7-8650U RAM 16GB SSD 512GB 2K IPS Touch (Không kèm phím),,"
                            15.800.000đ                        ","
                                                    16GB LPDDR3                                            ","
                                                            29.2 cm x 20.1 cm x 0.85 cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    512 GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/surface-pro-6-i7-intel/,"
                                                            784g                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
,,"
                                                    16GB DDR4 3200MHz                                            ",,"
                                                    Mới                                            ",,https://trungtran.vn/images/products/2023/resized/thinkpad_t14_gen_1.png,,ThinkPad T14 Gen 1 AMD Ryzen 5 Pro 4650U 16GB SSD 512GB FHD IPS Touch,"
                                                            Windows 10 Pro                                                    ","
                            15.700.000đ                        ","
                                                    14"" FHD (1920x1080)                                            ",,"
                                                            Mới                                                    ","
                                                    AMD Radeon™ Graphics                                            ",https://trungtran.vn/thinkpad-t14-gen-1-amd-nhieu-cau-hinh/,,
,,,,,,https://trungtran.vn/images/products/2023/resized/monitor-alienware-aw3423dwf-black-gallery-2.png,,,,,,,,,https://trungtran.vn/tags/dat-truoc,,
"
                                                    4-cell, 52wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core ™ i5-1135G7 (4 nhân 8 luồng, tần số xung nhịp cơ bản 2.4GHz – tối đa Turbo boost có thể đạt 4.2GHz, 8 MB Intel® Smart Cache)                                            ","
                                                            Platinum (bạc)                                                    ","
                                                    13.4"", FHD+ (1920x1200), 60 Hz, anti-glare, non-touch, InfinityEdge, sRGB 100% typical, 500 nits                                            ","
                                                    Intel® Iris® Xe Graphics, on board                                            ",https://trungtran.vn//upload_images/images/products/dell-xps/resized/front-dell-xps-9310.webp,"
                                                            2021                                                    ",DELL XPS 9310 i5-1135G7 8GB SSD 256 FHD+IPS,"
                                                            Windows 10                                                    ","
                            20.400.000đ                        ","
                                                    8GB, LPDDR4x-4267GHz, on board                                            ","
                                                            29.6cm x 19.9cm x 1.5cm                                                    ","
                                                            Outlet/Refurbished                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-xps-13-9310-i5-nhieu-cau-hinh/,"
                                                            1.2kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    4-cell, 54wh                                            ","
                                                            Dell                                                    ","
                                                     Intel Core i5 1340P (12 nhân 16 luồng, tần số xung nhịp cơ bản 3.4GHz – tối đa Turbo boost có thể đạt 4.6GHz, 12MB Smart Cache)                                            ","
                                                            Platinum Silver (bạc),  (phần nhựa bản lề màu ghi đốm trắng Milkyway star trails)                                                    ","
                                                    13.3"" QHD+ (2560x1600), WVA, màn nhám chống lóa, không cảm ứng, độ sáng màn hình 300nits, tần số quét màn 60Hz, độ phủ màu 100% sRGB, tỷ lệ khung hình 16:10, màn low blue light                                            ","
                                                    Intel® Iris® Xe Graphics                                            ",https://trungtran.vn/images/products/2023/resized/laptop-inspiron-13-5330-fpr-gray-gallery-2.png,"
                                                            2023                                                    ","ThinkBook 14 G5+ 2023 i5 13500H RAM 16GB SSD 512GB 14"" 2.8K 90Hz","
                                                            Windows 11                                                    ",20.900.000đ,"
                                                    16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp                                            ","
                                                            29.7 x 21.35 x 1.4-1.6cm                                                    ","
                                                            New 100%                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/dell-inspiron-5330-i5-intel/,"
                                                            1.24kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.2                                                    "
"
                                                    4-cell, 52 Wh                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i7-10610U (4 nhân 8 luồng, 8MB SmartCache, xung nhịp cơ bản 1.8 GHz, có thể đạt tới 4.9 GHz với Turbo Boost)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD (1920 x 1080) WVA, màn gương, có cảm ứng, độ sáng màn 300 nits, độ phủ màu 72% NTSC (trên 90% sRGB), tần số quét 60Hz, low blue light                                            ","
                                                    Intel® UHD 620 onboard                                            ",https://trungtran.vn/images/products/2023/resized/dell-latitude-7400-trungtran_vn-frontview-copy.png,"
                                                            2020                                                    ","Dell Latitude 7400 i7-8665U 8GB SSD 240GB/256GB 14"" FHD IPS","
                                                            Windows 10                                                    ",9.400.000đ,"
                                                    16GB LPDDR4 2666MHz hàn trên main                                            ","
                                                            32.13cm x 20.86cm x 1.8-1.9cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    512 GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-7410-i7-intel/,"
                                                            1.33kg                                                    ","
                                                            Wi-Fi + Bluetooth 5.1                                                    "
"
                                                    6-cell                                            ","
                                                            Lenovo                                                    ","
                                                    Intel core i7 6600U (2 nhân 4 luồng, xung nhịp cơ bản 2.6GHz, có thể đạt tối đa 3.4GHz với Turbo Boost, 4 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14"" FullHD IPS (1920 x 1080)                                            ","
                                                    Intel Graphics HD 520                                            ",https://trungtran.vn/images/products/2023/resized/t470s_chinh_dien_png.png,"
                                                            2016                                                    ",Lenovo Thinkpad T470s i7 6600U 8GB SSD 256GB Full HD IPS,"
                                                            Windows 10                                                    ",8.300.000đ,"
                                                    8GB DDR4                                            ","
                                                            33.1 x 22.7 x 1.7-1.9cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB SSD                                            ",https://trungtran.vn/lenovo-thinkpad-t470s-i7-6600u-8gb-ssd-256gb-full-hd-ips/,"
                                                            1.32kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    6-cell                                            ","
                                                            Lenovo                                                    ","
                                                    Intel core i7 6600U (2 nhân 4 luồng, xung nhịp cơ bản 2.6GHz, có thể đạt tối đa 3.4GHz với Turbo Boost, 4 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14"" FullHD IPS (1920 x 1080)                                            ","
                                                    Intel Graphics HD 520                                            ",https://trungtran.vn/images/products/2023/resized/t470s_chinh_dien_png.png,"
                                                            2016                                                    ",Lenovo Thinkpad T470s i7 6600U 12GB SSD 256GB Full HD IPS,"
                                                            Windows 10                                                    ",8.800.000đ,"
                                                    8GB DDR4                                            ","
                                                            33.1 x 22.7 x 1.7-1.9cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB SSD                                            ",https://trungtran.vn/lenovo-thinkpad-t470s-i7-6600u-8gb-ssd-256gb-full-hd-ips/,"
                                                            1.32kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    6-cell                                            ","
                                                            Lenovo                                                    ","
                                                    Intel core i7 6600U (2 nhân 4 luồng, xung nhịp cơ bản 2.6GHz, có thể đạt tối đa 3.4GHz với Turbo Boost, 4 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14"" FullHD IPS (1920 x 1080)                                            ","
                                                    Intel Graphics HD 520                                            ",https://trungtran.vn/images/products/2023/resized/t470s_chinh_dien_png.png,"
                                                            2016                                                    ",Lenovo Thinkpad T470s i7 6600U 20GB SSD 512GB Full HD IPS,"
                                                            Windows 10                                                    ",9.800.000đ,"
                                                    8GB DDR4                                            ","
                                                            33.1 x 22.7 x 1.7-1.9cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB SSD                                            ",https://trungtran.vn/lenovo-thinkpad-t470s-i7-6600u-8gb-ssd-256gb-full-hd-ips/,"
                                                            1.32kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    4-cell, 60 Wh                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i5-8365U (4 nhân 8 luồng, 6MB SmartCache, xung nhịp cơ bản 1.6 GHz, có thể đạt tới 4.1 GHz với Turbo Boost)                                            ","
                                                            Đen                                                    ","
                                                    13.3-in. HD (WXGA 1366x768) TN, 220nits, màn nhám không cảm ứng                                            ","
                                                    Đồ họa Intel® UHD cho Bộ xử lý Intel® thế hệ thứ 8                                            ",https://trungtran.vn/images/products/2023/resized/dell_latitude_7300_(4).png,"
                                                            2019                                                    ",Dell Latitude 7300 i5 8365U RAM 8GB SSD 256GB HD,"
                                                            Windows 10                                                    ","
                            8.000.000đ                        ","
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400 (theo nhà sản xuất công bố); Có 2 khe có thể lắp tối đa tới 32GB nhận bus 2400MHz                                            ","
                                                            30.6 x 20.6 x 1.74-1.84cmcm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256 GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-7300-i5-intel/,"
                                                            1.25kg                                                    ","
                                                            Intel Dual-Band Wireless-AC 9560 Wi-Fi + Bluetooth 5.0                                                    "
