CPU,Display,Graphics,ImgURL,Name,Price,Ram,Status,Storage,URL
Intel Core i7-1160G7,"13"" 2K 100% sRGB",Intel Iris Xe Graphics,https://laptop88.vn/media/product/pro_poster_7409.jpg,[New 100%] Laptop Lenovo Thinkpad X1 Nano Gen 1 20UN00FSUS - Intel Core i7-1160G7 | 16GB | 13 Inch 2K 100% sRGB,21.990.000 đ,16GB LPDDR4,New 100%,SSD 512GB NVMe,https://laptop88.vn/moi-99-refurbished-laptop-lenovo-thinkpad-x1-nano-intel-core-i5-1130g7-13-inch-2k.html
i7 - 4800MQ,15.6'' Full HD,AMD HD 8790M,https://laptop88.vn/media/product/pro_poster_2456.jpg,Laptop cũ Dell Latitude E6540  - Intel Core i7,6.990.000 đ,8GB DDR3L,Used,SSD 256GB,https://laptop88.vn/dell-latitude-e6540.html
i7 - 12700H,"15.6"" Full HD 144Hz",Nvidia RTX 3050Ti,https://laptop88.vn/media/product/pro_poster_7404.jpg,[New 100%] Laptop Asus TUF Gaming F15 2022 FX507ZE-HN093W - Intel Core i7-12700H | RTX 3050Ti | 15.6 Inch Full HD 144Hz,26.990.000 đ,8GB DDR5,New 100%,SSD 512GB,https://laptop88.vn/moi-100-full-box-laptop-asus-tuf-gaming-f15-2022-fx507ze-hn093w-intel-core-i7-12700h-rtx-3050ti-15.6-inch-full-hd-144hz.html
"
i7 - 12700H
","16"" 165Hz 2560x1600","
Nvidia RTX 3060
",https://laptop88.vn/media/product/pro_poster_8058.jpg,[New Outlet] Laptop Dell G16 7620 - Intel Core i7-12700H | RTX 3060 | 16 Inch QHD+ 165Hz,30.990.000 đ,16GB DDR5,New Outlet,SSD 1TB NVMe,https://laptop88.vn/new-outlet-laptop-dell-g16-7620-intel-core-i7-12700h-rtx-3060-16-inch-qhd.html
R5 - 5500U,"14"" Full HD",Radeon Graphics,https://laptop88.vn/media/product/7668_7512_22__1_.jpg,Laptop Cũ Asus Zenbook Q408UG - AMD Ryzen 5-5500U | 14 inch Full HD,11.990.000 đ,8GB DDR4,Used,SSD 256GB,https://laptop88.vn/laptop-cu-asus-zenbook-q408ug-amd-ryzen-5-5500u-14-inch-full-hd.html
i5 - 6300HQ,15.6'' Full HD,Nvidia GTX 960M,https://laptop88.vn/media/product/pro_poster_2447.jpg,Laptop Gaming cũ Dell Inspiron 7559 - Intel Core i5,9.790.000 đ,8GB DDR3,Used,SSD 240GB,https://laptop88.vn/laptop-gaming-dell-7559-cu-core-i5-6300hq-ram-8gb-hdd-500gb-nvidia-geforce-gtx-960m-full-hd-15.6-inch.html
"
Core i7-12700H
","15.6"" 100% sRGB 165Hz",Nvidia RTX 3060,https://laptop88.vn/media/product/pro_poster_6927.jpg,[New 100%] Laptop Acer Nitro 5 Tiger 2022 AN515-58-74B7 - Intel Core i7-12700H | RTX 3060 | 15.6 Full HD 165Hz 100% sRGB,26.990.000 đ,8GB DDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-acer-nitro-5-tiger-2022-an515-58-intel-core-i7.html
i9 - 8950HK,"15.6"" Full HD",Quadro P2000M,https://laptop88.vn/media/product/7016_6379_61041749_2803247049_scaled__1_.jpg,Laptop Cũ Dell Precision 7530 - Intel Core i9,Liên Hệ,16GB DDR4,,SSD 512GB,https://laptop88.vn/laptop-dell-precision-7530-intel-core-i9.html
i7 - 6600U,14 Inch HD,Intel HD 520,https://laptop88.vn/media/product/7031_5073_hp_probook_640_g2__2_.png,Laptop Cũ HP Probook 640 G2 - Intel Core i7,5.290.000 đ,8GB DDR4,Used,SSD 128GB,https://laptop88.vn/laptop-cu-hp-probook-640-g2-intel-core-i7.html
i7 - 1185G7,"14"" Full HD, sRGB",Intel Xe Graphics,https://laptop88.vn/media/product/pro_poster_7027.jpg,Laptop Cũ Lenovo Yoga 9 14ITL5 - Intel Core i7 | Gold,Liên Hệ,8GB DDR4L,,SSD 512GB,https://laptop88.vn/laptop-cu-lenovo-yoga-9-14itl5-intel-core-i7-gold.html
i5 - 7200u,"14"" Full HD",Intel HD 620,https://laptop88.vn/media/product/7680_81oxqno5zzl.jpg,Laptop Cũ HP Zbook 14U G5 - Intel Core i5 | 14 inch Full HD,Liên Hệ,8GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-hp-zbook-14u-g5-intel-core-i5.html
i5 - 10210U,"14"" Full HD",Intel UHD 620,https://laptop88.vn/media/product/pro_poster_7049.jpg,Laptop Cũ Dell Latitude 3410 - Intel Core i5,9.690.000 đ,8GB DDR4,Used,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-3410-intel-core-i5.html
AMD A8 - 8600B,12.5 Inch HD,AMD Vega Radeon,https://laptop88.vn/media/product/7051_61v5oyweq8l__ac_sl1500_.jpg,Laptop Cũ HP Elitebook 725 G3 - AMD A8,Liên Hệ,4GB DDR3,,SSD 128GB,https://laptop88.vn/laptop-cu-hp-elitebook-725-g3-amd-a8.html
i9 - 13900H,"15.6"" Full HD 144Hz",Nvidia RTX 4060 8GB,https://laptop88.vn/media/product/7955_t___i_xu___ng.jpg,[New 100%] Laptop ASUS TUF Gaming F15 FX507VV4-LP382W - Intel Core i9 - 13900H | RTX 4060 8GB | 15.6 Inch Full HD 144Hz,39.490.000 đ,16GB DDR4,New 100%,SSD 512GB NMVe,https://laptop88.vn/new-100-laptop-asus-tuf-gaming-f15-fx507vv4-lp382w-intel-core-i9-13900h-rtx-4060-8gb-15.6-inch-full-hd-144hz.html
i5 - 10310U,"13.3"" Full HD",Intel UHD Graphics,https://laptop88.vn/media/product/7211_dell_latitude_7310_laptop3mien_vn_3.jpg,Laptop Cũ Dell Latitude 7310 - Intel Core i5,Liên Hệ,16GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-7310-intel-core-i5.html
i7 - 10750H,"15.6"" Full HD",Quadro P620,https://laptop88.vn/media/product/pro_poster_6982.jpg,Laptop Cũ Dell Precision 3551 - Intel Core i7,Liên Hệ,16GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-dell-precision-3551-intel-core-i7.html
"
Core i5-1135G7
","15.6"" Full HD","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/6262_7345_dell_vostro_3500_v5i3001w_1.jpg,Laptop Cũ Dell Vostro 15 3500 - Intel Core i5 1135G7 | 15.6 inch Full HD,11.990.000 đ,8GB DDR4,Used,SSD 256GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-dell-vostro-15-3500-7g3981-intel-core-i5.html
i9 - 9880H,"15.6"" Full HD",Quadro T1000,https://laptop88.vn/media/product/7032_workstations_precision_7540_html5_static_image_set_www_laptopvip_vn_1623474661__1_.png,Laptop Cũ Dell Precision 7540 - Intel Core i9,Liên Hệ,16GB DDR4,,SSD 512GB,https://laptop88.vn/laptop-cu-dell-precision-7540-intel-core-i9.html
i7 - 10850H,"15.6"" Full HD",Quadro T1000M,https://laptop88.vn/media/product/7366_dell_precision_7550___4_.jpg,Laptop Cũ Dell Precision 7550 - Intel Core i7 10850H | Quadro T1000M,Liên Hệ,16GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-dell-precision-7550-intel-core-i7-10850h-quadro-t1000m.html
i5 - 6200U,"15.6"" Full HD",Intel HD 520,https://laptop88.vn/media/product/7364_thinkpad_t570_1641527702.jpg,Laptop Cũ Lenovo Thinkpad T570 - Intel Core i5,Liên Hệ,8GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-t570-intel-core-i5.html
i5 - 8250U,"15.6"" Full HD",Intel HD 620,https://laptop88.vn/media/product/7425_hp_elitebook_850_g5_01.jpg,Laptop Cũ HP Elitebook 850 G5 - Intel Core i5,Liên Hệ,8GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-hp-elitebook-850-g5-intel-core-i5.html
i7 - 8750H,"15.6"" Full HD",Nvidia GTX 1050Ti,https://laptop88.vn/media/product/7427_man_hinh_dell_xps_15_9570_laptop_1600612885.jpg,Laptop Dell XPS 15 9570 - Intel Core i7 - 8750H | GTX 1050Ti,Liên Hệ,16GB DDR4,Used,SSD 1TB,https://laptop88.vn/laptop-dell-xps-15-9570-intel-core-i7-8750h.html
i9 - 9880H,15.6 Inch 4K,Nvidia RTX 4000,https://laptop88.vn/media/product/7429_thinkpad_p53_p53s_2019.png,Laptop Cũ Lenovo Thinkpad P53  - Intel Core i9-9880H | RTX 4000,Liên Hệ,32GB DDR4,,SSD 1TB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-p53-intel-core-i9-9880h-rtx-4000.html
i7 - 7600U,"14"" Full HD",Intel UHD 520,https://laptop88.vn/media/product/7048_6980_5015_thinkpad_t470s_3.jpg,Laptop Cũ Lenovo Thinkpad T470s - Intel Core i7,Liên Hệ,8GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-t470s-intel-core-i7.html
i5 - 10310U,"14"" Full HD",Intel HD 620,https://laptop88.vn/media/product/7428_gen_8_png.png,Laptop Cũ Lenovo Thinkpad X1 Carbon Gen 8 - Intel Core i5,Liên Hệ,8GB DDR3,Used,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-x1-carbon-gen-8-intel-core-i5.html
i7 - 9850H,"15.6"" 4K",Intel UHD 630,https://laptop88.vn/media/product/7430_345.png,Laptop Cũ Lenovo Thinkpad P1 Gen 2 - Intel Core i7 9850H,Liên Hệ,16GB DDR4,,SSD 512GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-p1-gen-2-intel-core-i7-9850h.html
i5 - 7440HQ,"14"" Full HD",Intel HD 620,https://laptop88.vn/media/product/pro_poster_7433.jpg,Laptop cũ Lenovo Thinkpad T470p - Intel Core i5,Liên Hệ,8GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-t470p-intel-core-i5-1.html
i5 - 10310U,"15.6"" Full HD",Intel UHD 620,https://laptop88.vn/media/product/7363_2246_1.jpg,Laptop Cũ Dell Latitude 5510 - Intel Core i5,Liên Hệ,8GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5510-intel-core-i5.html
i5 - 6200U,15.6 Inch HD,Intel HD 520,https://laptop88.vn/media/product/7447_eb850_caesars15_kspimg_1.png,Laptop Cũ HP Elitebook 850 G3 - Intel Core i5,Liên Hệ,8GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-hp-elitebook-850-g3-intel-core-i5.html
i5 - 8250U,"15.6"" Full HD",Intel UHD 620,https://laptop88.vn/media/product/7486_lenovo_thinkpad_l5801.jpg,Laptop Cũ Lenovo Thinkpad L580 - Intel Core i5 ,Liên Hệ,8GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-l580-intel-core-i5.html
i3 - 4005U,12.5 Inch HD,Intel HD 4400,https://laptop88.vn/media/product/7172_2.jpg,Laptop Cũ Dell Latitude E7240 - Intel Core i3,Liên Hệ,4GB DDR3L,,SSD 128GB,https://laptop88.vn/laptop-cu-dell-latitude-e7240-intel-core-i3.html
i7 - 7820HQ,"15.6"" Full HD",Intel HD 630,https://laptop88.vn/media/product/7506_images__1_.png,Laptop Cũ HP Probook 650 G3 - Intel Core i7 7820HQ | 15.6 Inch Full HD,Liên Hệ,8GB DDR4,,SSD 240GB,https://laptop88.vn/laptop-cu-hp-probook-650-g3-intel-core-i7-7820hq-15.6-inch-full-hd.html
i5 - 8350U,"15.6"" Full HD",Intel UHD 620,https://laptop88.vn/media/product/pro_poster_7212.jpg,Laptop Cũ Dell Latitude 5500 - Intel Core i5,8.990.000 đ,8GB DDR4,Used,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5500-intel-core-i5.html
Intel Core i7-8850H,"15.6"" Full HD",Quadro P2000 ,https://laptop88.vn/media/product/7521_43865_laptop_workstation_hp_zbook_15_g5_3ax12av_i7_8750h_16gb_ram_256gb_ssd_quadro_p2000_156_fhd_dos_6__1_.png,Laptop Cũ Workstation HP Zbook 15 G5 - Intel Core i7-8850H | Quadro P2000,Liên Hệ,16GB DDR4,,SSD 512GB,https://laptop88.vn/laptop-cu-workstation-hp-zbook-15-g5-intel-core-i7-8850h-quadro-p1000.html
i7 - 8560U,"14"" Full HD",Intel UD 620,https://laptop88.vn/media/product/7520_lenovo_thinkpad_t490_00.jpg,Laptop Cũ Lenovo Thinkpad T490 - Intel Core i7 ,Liên Hệ,16GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-t490-intel-core-i7.html
"
 i7-13700HX
","17.0"" QHD+ 165Hz", RTX4070 8GB,https://laptop88.vn/media/product/8031_untitled_1.jpg,[New 100%] Laptop MSI Creator Z17 HX Studio A13VGT 068VN - Intel Core i7-13700HX | RTX4070 8GB | 17 Inch QHD+ 165Hz,75.990.000 đ,32GB DDR5,,SSD 2TB NVMe,https://laptop88.vn/new-100-laptop-msi-creator-z17-hx-studio-a13vgt-068vn-intel-core-i7-13700hx-rtx4070-8gb-17-inch-qhd-165hz.html
"
AMD R5-5500U
","15.6"" Full HD","
AMD Radeon Graphics
",https://laptop88.vn/media/product/7547_6749_dsc07965.jpg,Laptop Cũ Dell Vostro 15 5515 R1505A - AMD Ryzen 5-5500U | 15.6 Inch Full HD,Liên Hệ,8GB DDR4,,SSD 256GB NVMe,https://laptop88.vn/laptop-cu-dell-vostro-15-5515-r1505a-amd-ryzen-5.html
AMD R7 - 2700U,"14"" Full HD","
AMD Radeon Vega
",https://laptop88.vn/media/product/7522_7225_13963_laptop_hp_elitebook_745_g5_5zu69pa_silver_4.jpg,Laptop Cũ HP Elitebook 745 G5 - AMD Ryzen 7,Liên Hệ,16GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-hp-elitebook-745-g5-amd-ryzen-7.html
R5 -3500U,"14"" Full HD",AMD Vega 8,https://laptop88.vn/media/product/7466_6752_portatil_lenovo_e41_55.jpg,Laptop Cũ Lenovo E41-55 - AMD Ryzen 5-3500U | 14 Inch Full HD,Liên Hệ,8GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-e41-55-amd-ryzen-5-3500u-14-inch-full-hd.html
i7 - 10810U,"13.3"" Full HD",Intel UHD 620,https://laptop88.vn/media/product/7607_410yxrxntml__ac_sl1142_.jpg,Laptop Cũ HP Elitebook X360 830 G7 2 in 1 - Intel Core i7 10810U | 13.3 Inch Full HD,Liên Hệ,8GB DDR4,Used,SSD 256GB,https://laptop88.vn/laptop-cu-hp-elitebook-x360-830-g7-2-in-1-intel-core-i7-10810u-13.3-inch-full-hd.html
i5 - 8250U,"15.6"" Full HD",Intel HD 620,https://laptop88.vn/media/product/7505_lenovo_thinkpad_t580_04_300x300__1_.png,Laptop Cũ Lenovo Thinkpad T580 - Intel Core i5 8250U | 15.6 Inch Full HD,Liên Hệ,8GB DDR4,,SSD 240GB,https://laptop88.vn/moi-100-full-box-laptop-lenovo-thinkpad-t580-intel-core-i5-8250u-15.6-inch-full-hd.html
i5 - 1035G1,13.3'' Full HD,Intel UHD Graphics,https://laptop88.vn/media/product/7610_39374_laptop_hp_pavilion_x360_14_dw0062tu_19d53pa_2.jpg,Laptop Cũ HP Pavilion X360 2 in 1 - Intel Core i5,Liên Hệ,8GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-hp-pavilion-x360-2-in-1-intel-core-i5.html
"
Chip M1 10 Core
","
16 Inch Retina 4K
","
Card 32-core GPU
",https://laptop88.vn/media/product/7609_macbook_pro_2021_05_4_2.jpg,Macbook Pro 16 - M1 Max 10 Core CPU 32 GPU | RAM 32GB  | SSD 1TB | 16 inch 4K 2021 Cũ,Liên Hệ,32GB,,SSD 1TB,https://laptop88.vn/macbook-pro-16-m1-max-10-cpu-32-gpu-ram-32gb-ssd-1tb-16-inch-4k-2021-cu.html
i3 5005u,"14"" Full HD",Intel HD 5500,https://laptop88.vn/media/product/7638_images__23_.jpg,Laptop Cũ Dell Latitude 3460 - Intel Core i3 | 14 inch Full HD,Liên Hệ,4GB | 8GB DDR3L,,SSD 128GB,https://laptop88.vn/laptop-cu-dell-latitude-3460-intel-core-i3-14-inch-full-hd.html
i5-1035G1,"13.3"" Full HD ",Intel UHD Graphics,https://laptop88.vn/media/product/pro_poster_7637.jpg,Laptop Cũ HP Pavilion 13-an1052tu - Intel Core i5 1035G1 | 13.3 inch Full HD,Liên Hệ,8GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-hp-pavilion-13-an1052tu-intel-core-i5-1035g1-13.3-inch-full-hd.html
i5-9400H,"15.6"" Full HD",UHD Graphics,https://laptop88.vn/media/product/7577_laptop_dell_latitude_5501_danh_gia_review__1_.jpg,Laptop Cũ Dell Latitude 5501 - Intel Core i5 | 15.6 inch Full HD,Liên Hệ,8GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5501-intel-core-i5-9300h-15.6-inch-full-hd.html
"
Core i7-1165G7
","15.6"" Full HD","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/pro_poster_6263.jpg,Laptop Cũ Dell Vostro 15 3500 - Intel Core i7-1165G7 | 15.6 inch Full HD,12.690.000 đ,8GB DDR4,Used,SSD 256GB,https://laptop88.vn/moi-100-full-box-laptop-dell-vostro-15-3500-7g3982-intel-core-i7.html
i3 - 4005u,"13.3"" HD","
Intel HD 4400
",https://laptop88.vn/media/product/7625_4460_vtv_cab_onpro_4_copy_2.png,Laptop Cũ HP Probook 430 G1 - Intel Core i3,Liên Hệ,4GB LPDDR3,,SSD 128GB,https://laptop88.vn/laptop-cu-hp-probook-430-g1-intel-core-i3.html
i9 - 12900HK,"15.6"" 3.5K",Nvidia RTX 3050Ti,https://laptop88.vn/media/product/7475_photo_2022_08_05_17_25_57.jpg,Laptop Dell XPS 15 9520 (2022) - Intel Core i9-12900HK | RAM 32GB | Nvidia RTX 3050Ti | 15.6 Inch 3.5K,Liên Hệ,32GB DDR4,,SSD 1TB NVMe,https://laptop88.vn/laptop-dell-xps-15-9520-2022-intel-core-i9-12900hk-ram-32gb-nvidia-rtx-3050ti-15.6-inch-3.5k.html
i5 - 1235U,"14"" Full HD","
Intel UHD Graphics
",https://laptop88.vn/media/product/pro_poster_6683.jpg,[New 100%] Laptop HP Pavilion 14-dv2077TU 7C0W3PA / dv2076TU 7C0P4PA - Intel i5 1235U | 14 Inch Full HD,14.990.000 đ,8GB DDR4,,SSD 256GB NMVe,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-14-dv051-intel-core-i5.html
i7 - 10610U,15.6 inch Full HD,Intel UHD Graphics,https://laptop88.vn/media/product/7591_picture_01625127025.jpg,Laptop Cũ HP Elitebook 850 G7 - Intel Core i7-10610U | 16GB RAM | 15.6 Inch Full HD,Liên Hệ,16GB DDR4,,SSD 512GB,https://laptop88.vn/laptop-cu-hp-elitebook-850-g7-intel-core-i7-10610u-16gb-ram-15.6-inch-full-hd.html
"
 i5 - 1340P
","16.0"" Full HD+ ","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/pro_poster_8072.jpg,[New 100%] Laptop Dell Inspiron 16 5630 - R1605S | Intel Core  i5 - 1340P | 16 Inch Full HD+,18.990.000 đ,16GB LPDDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-dell-inspiron-16-5630-r1605s-intel-core-i5-1340p-16-inch-full-hd.html
Intel Core i3-1220p,14 inch Full HD+,Intel UHD Graphics,https://laptop88.vn/media/product/pro_poster_7454.jpg,[New 100%] Laptop Asus Vivobook 14X A1403ZA-LY072W I3-1220P - Intel Core i3 1220P | 8GB | Intel UHD | 14 inch WUXGA [2022],Liên Hệ,8GB DDR4,,SSD 256GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-vivobook-14x-a1403za-ly072w-i3-1220p-intel-core-i3.html
"
i5 - 12500H
","14.0"" WUGA, cảm ứng","
Intel Xe Graphics
",https://laptop88.vn/media/product/pro_poster_7516.jpg,[New 100%] Laptop Asus Vivobook S 14 Flip TP3402ZA-LZ159W - Intel Core i5 - 12500H | 8GB | 512GB | 14 Inch WUGA,Liên Hệ,8GB LPDDR4,,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-vivobook-s-14-flip-tp3402za-lz159w-intel-core-i5-12500h-8gb-512gb-14-inch-wuga.html
"
Core i5-1135G7
","15.6"" Full HD 60Hz","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/pro_poster_6704.jpg,Laptop Dell Vostro V3500 - 1505T - Intel Core i5,Liên Hệ,8GB DDR4,,SSD 256GB NVMe,https://laptop88.vn/laptop-dell-vostro-3500-intel-core-i5-nb.html
"
R7 - 4800H
","15.6"" Full HD 144Hz","
Nvidia RTX 3050 Ti
",https://laptop88.vn/media/product/pro_poster_7532.jpg,[New Outlet] Laptop Asus ROG Strix G15 G513IE-HN246W - AMD Ryzen 7 - 4800H | RTX 3050Ti | 15.6 Inch Full HD,21.590.000 đ,8GB DDR4,New Outlet,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-rog-strix-g15-g513ie-hn246w-amd-ryzen-7-4800h-rtx-3050ti-15.6-inch-full-hd.html
"
Core i5-1135G7
","15.6"" Full HD","
Nvidia MX350
",https://laptop88.vn/media/product/pro_poster_6720.jpg,[New 100%] Laptop Dell Vostro 15 3510-R1625B - Intel Core i5-1135G7 | Nvidia MX350 | 15.6 inch Full HD,14.590.000 đ,8GB DDR4,New 100%,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-dell-vostro-15-3510-7t2yc1-intel-core-i5.html
"
i7 - 1065G7
","17"" HD+","
Intel Iris Plus Graphics
",https://laptop88.vn/media/product/pro_poster_7649.jpg,Laptop Cũ Asus Vivobook 17 X712JA-211 - Intel core i7 - 1065G7 | 17 Inch HD+,13.690.000 đ,16GB DDR4,Used,SSD 1TB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-vivobook-17-x712ja-211-intel-core-i7-1065g7-17-inch-hd.html
"
12th Gen Intel Core i7
","16.0"" WQXGA ","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/pro_poster_7322.jpg,[New 100%] Laptop LG Gram 2022 16ZD90Q-G.AX72A5 - Intel Core i7- Gen 12th | 16 Inch 2K 99% DCI-P3,28.590.000 đ,16GB LPDDR5,New 100%,SSD 256GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-lg-gram-lg-gram-2022-16zd90q-g.ax72a5-intel-core-i7-gen-12th-16-inch-2k-99-dci-p3.html
i5 - 9400H,14 Inch Full HD,UHD Graphics 630,https://laptop88.vn/media/product/7574_latitude_5401_01_1587031395__1_.jpg,Laptop Cũ Dell Latitude 5401 - Intel Core i5-9400H | 14 inch Full HD,Liên Hệ,8GB DDR4,,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5401-intel-core-i5-9400h-14-inch-full-hd.html
"
12th Gen Intel Core i7
","17.0"" WQXGA","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/pro_poster_7329.jpg,[New 100%] Laptop LG Gram 2022 17ZD90Q-G.AX73A5 - Intel Core i7- Gen 12th | 17 Inch 2K 99% DCI-P3,25.990.000 đ,16GB LPDDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-lg-gram-2022-17zd90q-g.ax73a5-intel-core-i7-gen-12th-17-inch-2k-99-dci-p3.html
12th Gen Intel Core i5,"14.0"" WUXGA ","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/pro_poster_7336.jpg,[New 100%] Laptop LG Gram 2022 14ZD90Q-G.AX56A5 - Intel Core i5- Gen 12th | 14 inch 99% DCI-P3,22.990.000 đ,16GB LPDDR5,New 100%,SSD 256GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-lg-gram-2022-14zd90q-g.ax56a5-intel-core-i5-gen-12th-14-inch-99-dci-p3.html
"
Core i5-1240P
","
15.6"" Full HD IPS
","
Intel Iris Xᵉ Graphics
",https://laptop88.vn/media/product/pro_poster_7277.jpg,[New 100%] Laptop Asus Vivobook 15 X1502ZA-BQ127W - Intel Core i5-1240P [2022],15.290.000 đ,8GB DDR4,New 100%,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-vivobook-15-x1502za-bq127w-intel-core-i5-1240p.html
Intel Core i5-12500H,"14"" 2K 100%DCi-P3",Intel Iris Xe Graphics,https://laptop88.vn/media/product/pro_poster_7411.jpg,[New 100%] Laptop Asus Vivobook 14X A1403ZA-KM067W OLED (2022) - Intel Core i5 12500H,16.490.000 đ,8GB DDR4,New 100%,SSD 256GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-vivobook-a14-a1403za-km067w-intel-core-i5-12500h.html
R7-5700U 8 nhân,"15.6"" Full HD",AMD Vega 8,https://laptop88.vn/media/product/7523_6703__m___i_100__full_box__laptop_asus_fl8850ua_90nb0u12_m01790___amd_ryzen_7.png,Laptop Asus FL8850UA 90NB0U12-M01790 - AMD Ryzen 7,13.290.000 đ,8GB DDR4,Used,SSD 512GB,https://laptop88.vn/moi-99-full-box-laptop-asus-fl8850ua-90nb0u12-m01790-amd-ryzen-7.html
"
Core i5-1240P
","14.0"" Full HD","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/pro_poster_7378.jpg,[New 100%] Laptop Asus VivoBook X1402ZA-EK084W - Intel Core i5 1240P [2022],14.790.000 đ,8GB DDR4,New 100%,SSD 256GB,https://laptop88.vn/moi-100-full-box-laptop-asus-vivobook-x1402za-ek084w-intel-core-i5-1240p.html
"
Core i5-12500H
","14.0"" WQXGA ","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/pro_poster_7319.jpg,[New 100%] Laptop Asus Vivobook 14X OLED A1403ZA-KM161W - Intel i5 12500H | 2.8K 100% sRGB [2022],16.490.000 đ,8GB DDR4,,SSD 256GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-vivobook-14-a1403za-km161w-intel-i5-12500h.html
"
i5 - 11400H
","15.6"" Full HD 144Hz",Nvidia RTX 3050 4GB,https://laptop88.vn/media/product/pro_poster_6386.jpg,[New 100%] Laptop Acer Nitro 5 AN515-57-54MV - Intel Core i5 - 11400H | RTX 3050 4GB | 15.6 Inch Full HD 144Hz,19.990.000 đ,8GB DDR4,,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-acer-nitro-5-2021-an515-56-56s5-intel-core-i5.html
"
 i5-13500H
","14""  2.8K OLED",Intel Iris Xe Graphics,https://laptop88.vn/media/product/pro_poster_8066.jpg,[New 100%] Laptop Asus Vivobook 14 OLED A1405VA-KM095W - Intel Core i5-13500H | 14 Inch 2.8K OLED,18.990.000 đ,16GB DDR4,New 100%,SSD 512GB M.2 NVMe,https://laptop88.vn/new-100-laptop-asus-vivobook-14-oled-a1405va-km095w-intel-core-i5-13500h-14-inch-2.8k-oled.html
Intel Core i3-1220p,14 inch Full HD+,Intel UHD Graphics,https://laptop88.vn/media/product/7950_ac_m___i_100__full_box_laptop_asus_vivobook_14x_a1403za_ly072w_i3.jpg,[New 100%] Laptop Asus Vivobook 14X A1403ZA-LY153W - Intel Core i3 1220P | 14 inch WUXGA [2022],13.490.000 đ,8GB DDR4,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-asus-vivobook-14x-a1403za-ly153w-intel-core-i3-1220p-14-inch-wuxga-2022.html
